Unique ID,Coral species,Phylo ID gene,ITS2 Phylo,Phylotype TT Score (Rk),Colony Number,Sampling Location,Realm (Spalding 2007),Province (Spalding 2007),Ecoregion (Spalding 2007),Depth (m),Min Depth (m),Max Depth (m),Lat,Long,Conditions,Database,Phylotype GenBank  # ,Notes,Phylotype ID Methods,Citation,Phylotype Survey Date,Survey begin mo,Survey begin year,Survey end mo,Survey end year,Symbiodinium in propagules,Mode of larval development,Sexual system,,,,
16758,Pavona varians,ITS2,C15,37.5926434,NA,French Frigate Shoals,Eastern Indo-Pacific,Hawaii,Hawaii,0-10',0,10,23.8,-165,Normal Conditions,Original pub,,,Cloning of ITS2 & sequencing,Stat 2015 CoralReefs Geographic structure and host specificity,2005-2009,NA,2005,NA,2009,No,spawner,gonochore,,,,
15157,Platygyra daedalea,ITS2,C15,37.5926434,NA,Xiaodonghai Bay,Central Indo-Pacific,South China Sea,Gulf of Tonkin,1-10 m,1,10,18.206537,109.504475,Normal conditions,Original pub,AF499789,,DGGE of ITS2 & sequencing,Zhou 2011 JSysEvol Low genetic diversity of symbiotic dinoflagellates,Oct '08,10,2008,10,2008,No,spawner,hermaphrodite,,,,
17325,Pleuractis paumotensis,ITS2,C15,37.5926434,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,2,2,2,-17.52095,-149.9208,Normal Conditions,Original Pub,,LG6,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,NA,spawner,gonochore,,,,
17466,Pocillopora damicornis,ITS2,C15,37.5926434,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,2,2,2,-17.579,-149.8642,Normal Conditions,Original Pub,HE579013,FG5,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,Yes,brooder,hermaphrodite,,,,
16826,Pocillopora meandrina,ITS2,C15,37.5926434,NA,Gardner,Eastern Indo-Pacific,Hawaii,Hawaii,10-20',10,20,25.0013889,-168.2369444,Normal Conditions,Original pub,,,Cloning of ITS2 & sequencing,Stat 2015 CoralReefs Geographic structure and host specificity,2005-2009,NA,2005,NA,2009,Yes,spawner,hermaphrodite,,,,
9191,Porites annae,ITS2,C15,37.5926434,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,Yes,spawner,gonochore,,,,
1408,Porites attenuata,ITS2,C15,37.5926434,NA,Palau,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands,,5,6,7.27,134.42,Normal Cond,GenBank,AY456954,ITS1 C·,"SSCP of ITS1, cloning & sequencing",Fabricius 2004 MolEcol Identity and diversity of coral endosymbionts from three Palauan reefs,,10,2001,10,2001,NA,brooder,NA,,,,
13857,Porites compressa,ITS2,C15,37.5926434,165,Kaneohe Bay,Eastern Indo-Pacific,Hawaii,Hawaii,1-8,1,8,21.26.992,-157.47762,Normal Conditions,Original publication,,36 High TSA,Cloning of ITS2 & sequencing,Stat 2013 Ecol&Evol Distribution of the thermally tolerant symbiont lineage Symbiodinium in corals from Hawaii,6/1/07,6,2007,6,2007,Yes,spawner,gonochore,,,,
5437,Porites cylindrica,ITS2,C15,37.5926434,NA,"Heron Reef, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,Intertidal flat,0,1,-23.4167,151.9167,Normal Cond,Aquarist,EF372070,Clsu10 converts to ITS2 C15,"SSCP of LUS & cloning, DGGE of ITS2 & sequencing",Stat 2008 CoralReefs Symbiont acquisition strategy drives the genetic diversity of Symbiodinium in hosts,8/1/01,8,2001,8,2001,Yes,spawner,gonochore,,,,
9619,Porites evermanni,ITS2,C15,37.5926434,n/a,Oahu,Eastern Indo-Pacific,Hawaii,Hawaii,5-20,5,20,21.4667,-157.9833,Normal Cond,Aquarist,,"Article does not say where each sample was from, but all sites (Kaneohe Bay, Haleiwa Trench, and Wailua Bay) are off the island of Oahu",DGGE of ITS2 & sequencing,LaJeunesse 2004 CoralReefs High diversity and host specificity observed among symbiotic,<10-2003,NA,NA,NA,NA,Yes,spawner,gonochore,,,,
16489,Porites harrisoni,ITS2,C15,37.5926434,NA,Musandam,Western Indo-Pacific,Red Sea and Gulf of Aden,Southern Red Sea,2-7',2,7,26.1,56.25,Unknown,Original pub,,,DGGE of ITS2 & sequencing,D’Angelo 2015 ISME Local adaptation constrains the distribution potential,Sept 2012 and March 2013,9,2012,3,2013,NA,NA,NA,,,,
9794,Porites lichen,ITS2,C15,37.5926434,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,147,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,Yes,brooder,hermaphrodite,,,,
2705,Porites lobata,ITS2,C15,37.5926434,NA,Changuu,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,2-6,2,6,-6.12007,39.168068,Normal Cond,Geosymbio,same_as_AY239369,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,4/1/07,4,2007,4,2007,Yes,spawner,gonochore,,,,
3051,Porites lutea,ITS2,C15,37.5926434,NA,"Zamami Island, Japan",Central Indo-Pacific,South Kuroshio,South Kuroshio,1-10,1,10,26.23463,127.3049,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,March (2002),3,2002,3,2002,Yes,spawner,gonochore,,,,
8855,Porites mayeri,ITS2,C15,37.5926434,NA,Heron Island,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,3,3,3,-23,152,Normal Cond,Original pub,,,DGGE of ITS2 & sequencing,LaJeunesse 2003 LimnolOceanogr Low symbiont diversity in southern Great Barrier Reef,Feb and March 2002,2,2002,3,2002,NA,NA,NA,,,,
X90,Porites monticulosa,ITS2,C15,37.5926434,NA,Tuléar,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-23.3,43.6,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,Yes,spawner,gonochore,,,,
2731,Porites nigrescens,ITS2,C15,37.5926434,NA,Ko Phi Phi Don,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-6,2,6,7.7333,98.7667,Normal Cond,Geosymbio,same_as_AY239369,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,Yes,NA,NA,,,,
X91,Porites profundus,ITS2,C15,37.5926434,NA,Zanzibar,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,,1,7,-6.152622,39.13601,Normal Cond,Direct from publication,,,DGGE of ITS2 & sequencing,Chauka 2012 WIndOceaJMarSci Diversity of Symbiodinium in Tanzania,,4,2008,4,2008,Yes,NA,NA,,,,
15563,Porites rus,ITS2,C15,37.5926434,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,Yes,spawner,gonochore,,,,
9796,Porites silimaniana ,ITS2,C15,37.5926434,NA,"Zamami Island, Japan",Central Indo-Pacific,South Kuroshio,South Kuroshio,1-10,1,10,26.23463,127.3049,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,March (2002),3,2002,3,2002,Yes,brooder,gonochore,,,,
17614,Porites solida,ITS2,C15,37.5926434,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,1,1,1,-17.47722,-149.8023,Normal Conditions,Original Pub,HE579013,LG2,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,NA,spawner,gonochore,,,,
9193,Porites stephensoni,ITS2,C15,37.5926434,NA,Ko Phi Phi Don,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-6,2,6,7.7333,98.7667,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,Yes,brooder,gonochore,,,,
9797,Porites vaughani ,ITS2,C15,37.5926434,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8',1,8,-18,147,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,Yes,NA,NA,,,,
15459,Seriatopora hystrix,ITS2,C15,37.5926434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Normal Cond,Original pub,,Held in capticivity at aquarium for up to 18 years,DGGE of ITS2 & sequencing,Smith 2009 JPhycol symbiodinium (dinophyta) diversity and stability in aquarium,<10-2008,NA,NA,NA,NA,Yes,brooder,hermaphrodite,,,,
X92,Montipora capitata ,ITS2,FDia11,38.36,NA,Hawaii,Eastern Indo-Pacific,Hawaii,Hawaii,NA,NA,NA,NA,NA,NA,Original pub,,Same as F1,NA,LaJeunesse 2001 JPhycol Investigating the biodiversity,NA,NA,NA,NA,NA,Yes,spawner,hermaphrodite,,,,
2556,Coelastrea aspera,ITS2,C119,39.51112818,NA,Cape Panwa,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,0-5,0,5,7.8073,98.4092,Normal Cond,Geosymbio,GU111900,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
5200,Pocillopora damicornis,ITS2,C125,39.51112818,NA,Abrolhos Islands,Temperate Australasia,West Central Australian Shelf,Shark Bay,<7,0,7,-28.638209,113.865239,Normal Cond,,EU597011,,DGGE of ITS2 & sequencing,Silverstein 2011 MEPS Novel algal symbiont diversity in reef corals of Western Australia,7/1/05,7,2005,7,2005,Yes,brooder,hermaphrodite,,,,
5202,Pocillopora damicornis,ITS2,C126,39.51112818,NA,Abrolhos Islands,Temperate Australasia,West Central Australian Shelf,Shark Bay,<7,0,7,-28.638209,113.865239,Normal Cond,,EU597012,,DGGE of ITS2 & sequencing,Silverstein 2011 MEPS Novel algal symbiont diversity in reef corals of Western Australia,7/1/05,7,2005,7,2005,Yes,brooder,hermaphrodite,,,,
5226,Favites abdita,ITS2,C129,39.51112818,NA,Abrolhos Islands,Temperate Australasia,West Central Australian Shelf,Shark Bay,<7,0,7,-28.638209,113.865239,Normal Cond,,HQ385805,,DGGE of ITS2 & sequencing,Silverstein 2011 MEPS Novel algal symbiont diversity in reef corals of Western Australia,7/1/05,7,2005,7,2005,No,spawner,hermaphrodite,,,,
9624,Acropora aculeus,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
X93,Acropora intermedia,ITS2,C3h,39.51112818,NA,"Kenting National Park, Taiwan",Central Indo-Pacific,South Kuroshio,South Kuroshio,< 5m,0,5,21.931667,120.745833,Exposed to warm water outflow from nuclear power plant,Original Publication,,,DGGE of ITS2 & sequencing,Wang 2011 MEPS Photosystem II breakdown induced by reactiveoxygen species in freshly-isolated Symbiodiniumfrom Montipora(Scleractinia; Acroporidae),Between October 2008 and June 2009,10,2008,6,2009,No,spawner,hermaphrodite,,,,
9686,Caulastrea furcata,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9689,Ctenactis echinata,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
9696,Danafungia horrida,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
2986,Echinophyllia aspera,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9699,Echinophyllia orpheensis ,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,146,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
2989,Echinopora gemmacea,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10–17,10,17,-17.5083,146.3772,Normal Cond,SymbioGBR,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
2994,Favites abdita,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8',1,8,-18,146,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
2996,Fungia fungites,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,146,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
9719,Goniastrea pectinata,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,146,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9726,Heliofungia actiniformis ,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,Mixed,Mixed,gonochore,,,,
3007,Hydnophora exesa,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8',1,8,-18,146,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9731,Leptastrea pruinosa,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10–17,10,17,-17.5083,146.3772,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
9735,Leptoseris yabei,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10–17,10,17,-17.5083,146.3772,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
3016,Lobophyllia hemprichii,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,146,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
3027,Mycedium elephantotus,ITS2,C3h,39.51112818,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,147,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9756,Oulophyllia crispa,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,no,spawner,hermaphrodite,,,,
9757,Oxypora lacera,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,146,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9762,Pachyseris rugosa,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
9765,Pachyseris speciosa,ITS2,C3h,39.51112818,,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10–17,10,17,-17.5083,146.3772,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,no,spawner,gonochore,,,,
9771,Pavona explanulata,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10–17,10,17,-17.5083,146.3772,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
8852,Pavona maldivensis,ITS2,C3h,39.51112818,NA,Heron Island,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,10,10,10,-23,152,Normal Cond,Original pub,,,DGGE of ITS2 & sequencing,LaJeunesse 2003 LimnolOceanogr Low symbiont diversity in southern Great Barrier Reef,Feb and March 2002,2,2002,3,2002,No,spawner,gonochore,,,,
9773,Pectinia lactuca,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9774,Pectinia paeonia,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,146,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
3031,Platygyra daedalea,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9777,Platygyra pini,ITS2,C3h,39.51112818,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,147,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9778,Platygyra ryukyuensis,ITS2,C3h,39.51112818,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,146,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9780,Pleuractis paumotensis,ITS2,C3h,39.51112818,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,NA,spawner,gonochore,,,,
3055,Sandalolitha robusta,ITS2,C3h,39.51112818,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,147,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
X94,Seriatopora hystrix ,ITS2,C3n,39.51,NA,"Lizard Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Torres Strait Northern Great Barrier Reef,27,27,27,-14.6166389,145.6364167,Normal Conditions,,,,DGGE of ITS2 & sequencing,Tonk 2014 JPhycol Symbiodinium diversity in reef invertebrates,,10,2007,9,2008,Yes,brooder,hermaphrodite,,,,
15474,Acropora cervicornis,ITS2,C94a,39.51112818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Normal Cond,Original pub,,Held in capticivity at aquarium for up to 18 years,DGGE of ITS2 & sequencing,Smith 2009 JPhycol symbiodinium (dinophyta) diversity and stability in aquarium,<10-2008,NA,NA,NA,NA,No,spawner,hermaphrodite,,,,
X95,Acropora granulosa,ITS2,C94a,39.51112818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Normal Cond,Original pub,,Held in capticivity at aquarium for up to 18 years,DGGE of ITS2 & sequencing,Smith 2009 JPhycol symbiodinium (dinophyta) diversity and stability in aquarium,<10-2008,NA,NA,NA,NA,No,spawner,hermaphrodite,,,,
15475,Acropora humilis,ITS2,C94a,39.51112818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Normal Cond,Original pub,,Held in capticivity at aquarium for up to 18 years,DGGE of ITS2 & sequencing,Smith 2009 JPhycol symbiodinium (dinophyta) diversity and stability in aquarium,<10-2008,NA,NA,NA,NA,No,spawner,hermaphrodite,,,,
2456,Acropora hyacinthus,ITS2,C94a,39.51112818,NA,Koh Hae,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-6,2,6,7.7456,98.3763,Normal Cond,Geosymbio,GU111877,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
15476,Acropora millepora,ITS2,C94a,39.51112818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Normal Cond,Original pub,,Held in capticivity at aquarium for up to 18 years,DGGE of ITS2 & sequencing,Smith 2009 JPhycol symbiodinium (dinophyta) diversity and stability in aquarium,<10-2008,NA,NA,NA,NA,No,spawner,hermaphrodite,,,,
15477,Acropora valida,ITS2,C94a,39.51112818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Normal Cond,Original pub,,Held in capticivity at aquarium for up to 18 years,DGGE of ITS2 & sequencing,Smith 2009 JPhycol symbiodinium (dinophyta) diversity and stability in aquarium,<10-2008,NA,NA,NA,NA,No,spawner,hermaphrodite,,,,
2683,Pocillopora eydouxi,ITS2,D1-11,39.51112818,NA,Cape Panwa,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,0-5,0,5,7.8073,98.4092,Normal Cond,Geosymbio,same_as_EU812740,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,Yes,spawner,hermaphrodite,,,,
2529,Favites abdita,ITS2,D1-4-10,39.51112818,NA,Cape Panwa,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,0-5,0,5,7.8073,98.4092,Normal Cond,Geosymbio,same_as_AF499802,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
9026,Favites valenciennesi,ITS2,D1-4-10,39.51112818,NA,Cape Panwa,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,0-5,0,5,7.8073,98.4092,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,no,spawner,hermaphrodite,,,,
9232,Goniastrea favulus,ITS2,D1-4-10,39.51112818,NA,Cape Panwa,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,0-5,0,5,7.8073,98.4092,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
